Month, ocity_name, dcity_name, Ratio of migration from B to A over total migration into A_monthly average, Ratio of migration from A to B over total migration out of A_monthly 
23-Jun,Tianjin,Suzhou,0.325833333,0.326666667
23-Jun,Tianjin,Dongying,0.31,0.315833333
23-Jun,Tianjin,Weihai,0.245833333,0.315
23-Jun,Tianjin,Linyi,0.274166667,0.296666667
23-Jun,Tianjin,Jining,0.295,0.2925
23-Jun,Tianjin,Puyang,0.2325,0.285
23-Jun,Tianjin,Changsha,0.221666667,0.284166667
23-Jun,Tianjin,Jinzhong,0.2525,0.223333333
23-Jun,Tianjin,Xuzhou,0.198333333,0.215
23-Jun,Tianjin,Zhoukou,0.179166667,0.205833333
23-Jun,Tianjin,Hefei,0.2025,0.2
23-Jun,Tianjin,Shangqiu,0.165,0.19
23-Jun,Tianjin,Xinxiang,0.148333333,0.188333333
23-Jun,Tianjin,Fuyang,0.16,0.188333333
23-Jun,Tianjin,Luoyang,0.1425,0.1775
23-Jun,Tianjin,Wuxi,0.150833333,0.148333333
23-Jun,Tianjin,Nanyang,0.133333333,0.140833333
23-Jun,Tianjin,Ningbo,0.145833333,0.138333333
23-Jun,Tianjin,Linfen,0.109166667,0.136666667
23-Jun,Tianjin,Xiamen,0.125,0.133636364
23-Jun,Tianjin,Changzhi,0.104166667,0.130833333
23-Jun,Tianjin,Zhumadian,0.149090909,0.1275
23-Jun,Tianjin,Fuzhou,0.104545455,0.12625
23-Jun,Tianjin,Shuozhou,0.105,0.124545455
23-Jun,Tianjin,Huanggang,0.06,0.12
23-Jun,Tianjin,Lvliang,0.131666667,0.115833333
23-Jun,Tianjin,Yulin,0.08,0.115
23-Jun,Tianjin,Jiaozuo,0.096666667,0.111428571
23-Jun,Tianjin,Jiaxing,0.09,0.11
23-Jun,Tianjin,Nanchang,0.105454545,0.109090909
23-Jun,Tianjin,Kaifeng,0.084444444,0.108333333
23-Jun,Tianjin,Yangquan,0.092,0.107777778
23-Jun,Tianjin,Changzhou,0.097,0.10625
23-Jun,Tianjin,Yuncheng,0.095454545,0.105555556
23-Jun,Tianjin,Lianyungang,0.08,0.103333333
23-Jun,Tianjin,Rizhao,0.09875,0.1025
23-Jun,Tianjin,Nantong,0.1025,0.101818182
23-Jun,Tianjin,Zaozhuang,0.096666667,0.101666667
23-Jun,Tianjin,Xinyang,0.098571429,0.096666667
23-Jun,Tianjin,Suzhou,0.08,0.095
23-Jun,Tianjin,Yancheng,0.085,0.094545455
23-Jun,Tianjin,Yangzhou,0.0875,0.092
23-Jun,Tianjin,Jinhua,0.09,0.09
23-Jun,Tianjin,Pingdingshan,0.066666667,0.08
23-Jun,Tianjin,Hebi,0.086666667,0.08
23-Jun,Tianjin,Bozhou,0.09,0.073333333
23-Jun,Shijiazhuang,Baoding,16.9125,16.92583333
23-Jun,Shijiazhuang,Xingtai,16.33083333,15.5975
23-Jun,Shijiazhuang,Beijing,9.208333333,8.449166667
23-Jun,Shijiazhuang,Hengshui,8.0575,7.329166667
23-Jun,Shijiazhuang,Handan,7.32,7.29
23-Jun,Shijiazhuang,Cangzhou,4.890833333,4.465833333
23-Jun,Shijiazhuang,Tianjin,3.180833333,3.005833333
23-Jun,Shijiazhuang,Langfang,2.364166667,2.269166667
23-Jun,Shijiazhuang,Xinzhou,1.09,2.108333333
23-Jun,Shijiazhuang,Tangshan,2.056666667,2.106666667
23-Jun,Shijiazhuang,Zhangjiakou,1.7175,1.951666667
23-Jun,Shijiazhuang,Yangquan,1.623333333,1.583333333
23-Jun,Shijiazhuang,Qinhuangdao,1.168333333,1.3525
23-Jun,Shijiazhuang,Taiyuan,1.325,1.3225
23-Jun,Shijiazhuang,Jinzhong,1.078333333,1.06
23-Jun,Shijiazhuang,Chengde,0.895833333,1.001666667
23-Jun,Shijiazhuang,Jinan,0.895,0.984166667
23-Jun,Shijiazhuang,Zhengzhou,0.8075,0.77
23-Jun,Shijiazhuang,Qingdao,0.663333333,0.7075
23-Jun,Shijiazhuang,Dezhou,0.605,0.6025
23-Jun,Shijiazhuang,Xi'an,0.538333333,0.541666667
23-Jun,Shijiazhuang,Yulin,0.266666667,0.528333333
23-Jun,Shijiazhuang,Shanghai,0.631666667,0.519166667
23-Jun,Shijiazhuang,Liaocheng,0.4125,0.459166667
23-Jun,Shijiazhuang,Anyang,0.403333333,0.42
23-Jun,Shijiazhuang,Zibo,0.231666667,0.394166667
23-Jun,Shijiazhuang,Wuhan,0.35,0.325
23-Jun,Shijiazhuang,Lvliang,0.3225,0.324166667
23-Jun,Shijiazhuang,Datong,0.276666667,0.320833333
23-Jun,Shijiazhuang,Weihai,0.246666667,0.305
23-Jun,Shijiazhuang,Yantai,0.25,0.303333333
23-Jun,Shijiazhuang,Hangzhou,0.2925,0.301666667
23-Jun,Shijiazhuang,Weifang,0.255833333,0.296666667
23-Jun,Shijiazhuang,Tai'an,0.203333333,0.295
23-Jun,Shijiazhuang,Linyi,0.240833333,0.289166667
23-Jun,Shijiazhuang,Nanjing,0.294166667,0.273333333
23-Jun,Shijiazhuang,Changzhi,0.230833333,0.2725
23-Jun,Shijiazhuang,Xinxiang,0.260833333,0.2725
